185.177.72.61 - - [10/Apr/2026:11:09:54 +0000] "GET /data/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:54 +0000] "GET /dev/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:54 +0000] "GET /.env.ci HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:55 +0000] "GET /.env.sandbox HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:57 +0000] "GET /.env.backup HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:58 +0000] "GET /.env.development.local HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:58 +0000] "GET /.env.uat HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:58 +0000] "GET /cms/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:09:59 +0000] "GET /core/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:00 +0000] "GET /.env.prod HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:01 +0000] "GET /.env.qa HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:03 +0000] "GET /api/.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:04 +0000] "GET /media../.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:04 +0000] "GET /www/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:04 +0000] "GET /.env.bak HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:04 +0000] "GET /.env.dist HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:04 +0000] "GET /server/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:05 +0000] "GET /.env.prod.local HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:05 +0000] "GET /prod/.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:05 +0000] "GET /project/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:05 +0000] "GET /config/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:05 +0000] "GET /docker-compose.prod.yml HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:05 +0000] "GET /.env.config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:06 +0000] "GET /.env.dev.local HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:08 +0000] "GET /.envrc HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:08 +0000] "GET /.env.staging.local HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:09 +0000] "GET /media/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:09 +0000] "GET /src/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:09 +0000] "GET /static../.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:10 +0000] "GET /.aws/credentials HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:12 +0000] "GET /.env.default HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:13 +0000] "GET /.env.preprod HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:14 +0000] "GET /.env.production HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:15 +0000] "GET /.env.save HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
